frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
0,1,20416.00,290.45,308.58,6,0.00,1.74,16.48,0.0351,Thumbs Up
1,2,18370.00,302.70,303.82,6,78.51,142.86,21.92,0.1004,Peace
2,2,19322.00,305.04,304.72,6,66.31,90.91,22.80,0.1004,Rock
3,2,20607.00,297.81,305.79,5,54.10,100.00,23.68,0.1004,Rock
4,3,35341.50,348.90,236.07,7,65.65,90.91,9.90,0.0360,OK
5,2,39240.50,349.98,233.12,7,54.98,90.91,10.99,0.0360,Peace
6,3,38371.00,351.27,233.67,8,73.27,90.91,12.07,0.0360,OK
7,2,22801.00,306.56,299.11,5,72.64,100.00,12.95,0.0458,Rock
8,2,23625.00,327.06,297.48,5,58.48,100.00,13.83,0.0458,Rock
9,2,23124.50,336.97,295.01,5,38.76,100.00,14.97,0.0458,Rock
10,2,21864.50,339.55,286.46,5,81.44,100.00,16.07,0.0315,Peace
11,2,20794.50,341.72,292.69,7,40.26,100.00,16.95,0.0315,Rock
12,2,24435.50,345.23,300.00,5,52.61,166.67,17.83,0.0315,Rock
13,2,27498.00,359.13,321.29,6,51.97,100.00,18.91,0.0428,Peace
14,2,27635.00,391.50,355.19,4,40.76,100.00,20.15,0.0428,Peace
15,2,28081.50,407.49,351.41,4,39.17,100.00,21.29,0.0428,Rock
16,3,41429.50,426.35,267.68,8,72.15,90.91,22.17,0.0380,OK
17,2,31631.00,447.09,305.85,6,46.43,100.00,23.05,0.0380,Rock
18,2,27554.50,445.22,310.37,7,48.02,90.91,24.15,0.0380,Rock
19,5,53473.50,309.76,343.15,7,50.31,90.91,25.03,0.0346,Palm
20,3,53818.50,299.74,346.25,7,41.13,90.91,26.18,0.0346,OK
21,3,51596.50,392.05,279.26,7,67.44,90.91,27.06,0.0346,OK
22,2,47053.00,390.66,284.76,7,59.29,90.91,12.00,0.0398,Rock
23,3,46017.50,310.83,348.45,7,51.27,90.91,13.01,0.0398,OK
24,4,72014.00,312.39,303.95,8,60.30,90.91,13.89,0.0398,4 Fingers
25,3,40288.00,422.67,229.28,6,74.39,90.91,14.98,0.0378,OK
26,3,40620.00,422.30,231.35,8,74.17,90.91,15.86,0.0378,OK
27,2,41340.50,420.96,232.60,8,67.00,71.43,16.74,0.0378,Rock
28,3,39801.00,418.89,236.16,7,76.45,90.91,17.75,0.0628,OK
29,4,49444.00,236.18,292.69,6,65.20,90.91,19.27,0.0628,4 Fingers
30,3,35451.50,249.59,269.55,5,77.79,90.91,20.15,0.0628,OK
31,1,20480.00,410.03,308.96,6,0.00,125.00,21.03,0.0380,Thumbs Up
32,2,38784.50,386.75,241.26,9,48.77,100.00,21.91,0.0380,Rock
33,2,19345.50,120.11,380.54,5,62.73,100.00,22.79,0.0380,Rock
34,2,19593.00,415.07,308.74,5,84.13,100.00,23.86,0.0390,Rock
35,1,19632.00,414.67,312.05,4,0.00,100.00,24.74,0.0390,Thumbs Up
36,1,18573.00,412.03,317.43,5,0.00,90.91,25.62,0.0390,Thumbs Up
37,4,33450.00,399.91,238.88,10,60.83,100.00,26.50,0.0339,4 Fingers
38,3,32666.00,397.00,241.27,7,48.77,90.91,27.67,0.0339,OK
39,1,16784.00,373.52,162.25,7,0.00,100.00,28.55,0.0339,Thumbs Up
40,2,28281.50,362.61,305.42,7,79.56,100.00,29.43,0.0358,Rock
41,2,49143.50,328.09,262.01,7,54.51,90.91,30.50,0.0358,Rock
42,3,50830.00,258.08,268.23,7,55.89,83.33,31.67,0.0358,OK
43,2,55081.00,261.51,271.00,5,58.49,90.91,32.55,0.0401,Rock
44,3,72920.50,313.32,302.16,8,67.32,83.33,33.43,0.0401,OK
45,3,55015.00,269.13,298.15,5,68.12,90.91,34.50,0.0401,OK
46,2,31517.50,464.59,359.59,7,49.47,125.00,35.67,0.0464,Rock
47,1,28197.50,450.00,365.50,6,0.00,100.00,36.54,0.0464,Thumbs Up
48,1,28805.50,444.65,363.99,6,0.00,90.91,37.42,0.0464,Thumbs Up
49,1,31649.00,442.26,358.36,6,0.00,100.00,38.50,0.0335,Thumbs Up
50,1,32389.50,444.64,354.44,6,0.00,100.00,39.38,0.0335,Thumbs Up
51,2,30433.50,451.17,350.72,5,33.52,90.91,40.26,0.0335,Rock
52,3,31286.50,449.80,346.38,6,73.77,100.00,41.13,0.0405,OK
53,4,51616.50,437.02,277.23,10,56.96,100.00,42.92,0.0405,4 Fingers
54,4,55585.00,435.98,270.44,8,69.58,100.00,43.80,0.0405,4 Fingers
55,4,53019.50,439.20,269.27,7,71.92,100.00,44.68,0.0363,4 Fingers
56,4,50213.50,439.81,264.40,9,60.46,100.00,45.56,0.0363,4 Fingers
57,3,46673.00,435.86,245.89,8,62.21,100.00,46.79,0.0363,OK
58,3,46399.00,436.83,246.64,8,64.53,100.00,47.86,0.0436,OK
59,5,46481.00,435.70,246.47,9,69.49,100.00,48.74,0.0436,Palm
60,4,46541.50,434.69,248.03,8,63.39,90.91,49.62,0.0436,4 Fingers
61,3,46530.50,431.12,246.89,7,73.82,125.00,50.79,0.0309,OK
62,3,28717.50,432.94,308.89,5,51.98,100.00,51.67,0.0309,OK
63,1,23164.50,404.91,315.67,5,0.00,100.00,52.54,0.0309,Thumbs Up
64,1,25222.00,402.63,307.59,6,0.00,100.00,53.42,0.0420,Thumbs Up
65,1,25358.00,403.55,303.41,7,0.00,100.00,54.50,0.0420,Thumbs Up
66,1,26133.50,403.11,303.48,5,0.00,166.67,55.58,0.0420,Thumbs Up
67,3,38467.50,410.34,248.71,8,69.47,100.00,56.74,0.0556,OK
68,2,26407.50,402.40,307.18,6,36.61,90.91,57.75,0.0556,Rock
69,2,26152.00,404.21,307.54,5,17.01,100.00,58.63,0.0556,Rock
70,1,23560.50,408.44,316.83,7,0.00,100.00,59.51,0.0690,Thumbs Up
71,2,22838.00,107.88,378.99,4,59.65,90.91,60.39,0.0690,Rock
72,2,21886.50,108.69,379.28,4,60.00,125.00,61.40,0.0690,Rock
73,2,22680.00,108.63,379.14,4,59.88,100.00,62.50,0.0737,Rock
74,2,21342.00,109.48,379.28,4,60.79,100.00,63.67,0.0737,Rock
75,5,37093.50,425.63,250.72,11,66.55,100.00,64.54,0.0737,Palm
76,4,37904.00,423.77,247.43,10,61.61,90.91,65.42,0.0721,4 Fingers
77,2,38330.50,417.57,246.15,10,59.54,90.91,66.63,0.0721,Rock
78,4,37820.50,417.47,242.55,7,76.38,100.00,67.80,0.0721,4 Fingers
79,3,37421.00,417.36,242.74,8,70.06,100.00,68.68,0.0591,OK
80,2,21492.50,107.15,379.34,4,60.31,100.00,69.55,0.0591,Rock
81,3,22062.00,110.49,384.17,4,54.40,90.91,70.50,0.0591,OK
82,1,21248.50,405.89,312.04,4,0.00,100.00,71.38,0.0604,Thumbs Up
83,1,21721.00,408.68,312.69,6,0.00,100.00,72.26,0.0604,Thumbs Up
