frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
0,3,22748.50,437.31,145.26,10,53.96,1.63,16.58,0.0516,OK
1,4,20722.50,433.59,147.72,8,60.55,125.00,21.92,0.0826,4 Fingers
2,2,19671.50,335.87,379.76,5,50.97,71.43,22.80,0.0826,Rock
3,2,19392.00,335.75,380.36,5,67.69,83.33,23.68,0.0826,Rock
4,2,19404.00,335.80,379.87,4,63.48,111.11,10.13,0.0663,Rock
5,1,19277.50,335.45,380.69,4,0.00,76.92,11.01,0.0663,Thumbs Up
6,2,19410.00,335.53,380.09,4,50.91,111.11,12.09,0.0663,Rock
7,2,19484.50,335.71,379.56,3,50.61,90.91,12.96,0.0336,Rock
8,2,19528.00,335.82,379.86,5,48.53,83.33,14.06,0.0336,Rock
9,3,25326.00,73.47,357.99,8,47.13,83.33,15.13,0.0336,OK
10,2,20793.00,443.35,159.34,8,51.25,83.33,16.18,0.0540,Peace
11,2,19399.50,335.96,380.07,5,57.68,90.91,17.06,0.0540,Rock
12,2,19374.50,335.73,380.29,4,72.02,111.11,17.94,0.0540,Rock
13,2,19302.50,335.77,380.79,4,57.77,100.00,18.82,0.0406,Rock
14,2,19300.00,335.60,380.33,4,58.48,111.11,20.18,0.0406,Rock
15,2,19235.00,335.59,380.81,4,51.75,40.00,21.06,0.0406,Rock
16,1,18846.00,334.80,382.48,5,0.00,100.00,22.14,0.0587,Thumbs Up
17,1,18692.50,334.69,383.05,3,0.00,83.33,23.02,0.0587,Thumbs Up
18,1,18761.00,334.58,382.81,4,0.00,83.33,24.18,0.0587,Thumbs Up
19,1,18792.50,334.75,382.80,4,0.00,83.33,25.06,0.0526,Thumbs Up
20,1,18866.50,334.79,382.53,5,0.00,71.43,25.94,0.0526,Thumbs Up
21,1,18284.50,334.46,383.84,3,0.00,90.91,27.08,0.0522,Thumbs Up
22,1,18339.50,334.51,383.47,4,0.00,90.91,9.85,0.0522,Thumbs Up
23,1,18451.50,334.37,383.32,4,0.00,83.33,10.73,0.0522,Thumbs Up
24,1,18606.00,334.70,383.19,6,0.00,111.11,11.61,0.0475,Thumbs Up
25,1,18737.50,334.48,382.89,4,0.00,83.33,12.89,0.0475,Thumbs Up
26,4,19589.50,433.48,147.33,8,49.60,90.91,13.77,0.0475,4 Fingers
27,1,19178.00,334.82,382.27,6,0.00,90.91,14.64,0.0455,Thumbs Up
28,3,19731.50,436.33,150.46,9,52.32,90.91,15.52,0.0455,OK
29,1,19230.00,335.04,381.87,4,0.00,100.00,16.69,0.0455,Thumbs Up
30,1,18988.00,334.93,382.39,4,0.00,90.91,17.57,0.0455,Thumbs Up
31,1,19001.00,335.07,382.30,4,0.00,90.91,18.44,0.0455,Thumbs Up
32,1,19050.00,335.13,382.20,4,0.00,100.00,19.32,0.0455,Thumbs Up
33,1,19026.00,334.96,382.29,4,0.00,90.91,20.69,0.0406,Thumbs Up
34,1,19067.00,334.83,382.13,4,0.00,100.00,21.57,0.0406,Thumbs Up
